bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
1,230000000,1,1.15350696,24.4974802,1.23e-06,2.619e-05,3.55516083,75.5023463,
1,230000000,2,1.15845746,24.56610644,1.83e-06,3.885e-05,3.55720971,75.43375203,
1,230000000,3,1.15475778,24.51431332,1.15e-06,2.446e-05,3.55577983,75.48552816,
1,230000000,4,1.15858808,24.52703587,2.06e-06,4.366e-05,3.56512412,75.47283498,
1,230000000,5,1.15459825,24.49688129,1.07e-06,2.273e-05,3.55864155,75.50298946,
1,230000000,avg,1.15598171,24.52037623,1.47e-06,3.119e-05,3.55838321,75.4794774,
1,230000000,avg,,,,,,,4.714372
1,250000000,1,1.25586593,24.53378103,1.15e-06,2.251e-05,3.86305316,75.46609741,
1,250000000,2,1.26019012,24.57336028,1.46e-06,2.855e-05,3.86808157,75.42652546,
1,250000000,3,1.25542014,24.50531528,1.17e-06,2.284e-05,3.86762559,75.49455486,
1,250000000,4,1.25962364,24.58646266,1.56e-06,3.05e-05,3.8636109,75.4134188,
1,250000000,5,1.25726222,24.54036972,1.17e-06,2.274e-05,3.86597327,75.45952761,
1,250000000,avg,1.25767241,24.54786549,1.3e-06,2.543e-05,3.8656689,75.45201713,
1,250000000,avg,,,,,,,5.123347
1,270000000,1,1.34708733,24.33565867,1.8e-06,3.245e-05,4.18835138,75.66420306,
1,270000000,2,1.35127483,24.40676035,2.41e-06,4.362e-05,4.1851957,75.59311109,
1,270000000,3,1.34702512,24.31156942,2.21e-06,3.995e-05,4.19364266,75.68829516,
1,270000000,4,1.35049015,24.37831784,2.4e-06,4.34e-05,4.18922065,75.62154547,
1,270000000,5,1.34913857,24.37474253,1.63e-06,2.951e-05,4.18583973,75.62511938,
1,270000000,avg,1.3490032,24.36140443,2.09e-06,3.779e-05,4.18845002,75.63846017,
1,270000000,avg,,,,,,,5.537461
1,290000000,1,1.45758445,24.52031135,1.9e-06,3.202e-05,4.48680448,75.47956701,
1,290000000,2,1.46232622,24.57491261,2.22e-06,3.734e-05,4.48815043,75.4249654,
1,290000000,3,1.45650089,24.53455616,1.6e-06,2.687e-05,4.48002058,75.46532723,
1,290000000,4,1.46256058,24.61394632,2.28e-06,3.841e-05,4.47943072,75.38591478,
1,290000000,5,1.45777006,24.53041529,1.74e-06,2.935e-05,4.48492725,75.46946585,
1,290000000,avg,1.45934844,24.55483445,1.95e-06,3.28e-05,4.48386669,75.44504195,
1,290000000,avg,,,,,,,5.943222
1,310000000,1,1.55265407,24.41013622,1.19e-06,1.876e-05,4.80803279,75.5897514,
1,310000000,2,1.5562195,24.43299604,1.64e-06,2.579e-05,4.81310907,75.5668945,
1,310000000,3,1.55308847,24.40900237,1.17e-06,1.844e-05,4.80966649,75.59077469,
1,310000000,4,1.55534016,24.40695502,1.84e-06,2.891e-05,4.81718148,75.59293781,
1,310000000,5,1.55055888,24.36558888,1.1e-06,1.736e-05,4.81315877,75.634308,
1,310000000,avg,1.55357222,24.40494059,1.39e-06,2.185e-05,4.81222972,75.5949284,
1,310000000,avg,,,,,,,6.36581
1,330000000,1,1.6674151,24.59361774,1.36e-06,2.009e-05,5.11244582,75.4062608,
1,330000000,2,1.67007001,24.65138619,1.99e-06,2.93e-05,5.10467224,75.34848603,
1,330000000,3,1.66386077,24.57252195,1.35e-06,1.994e-05,5.10735604,75.42735594,
1,330000000,4,1.67095635,24.66841361,1.56e-06,2.308e-05,5.10270361,75.33147293,
1,330000000,5,1.66197462,24.54423822,1.54e-06,2.28e-05,5.10936175,75.45566016,
1,330000000,avg,1.66685537,24.60604138,1.56e-06,2.304e-05,5.10730789,75.39384134,
1,330000000,avg,,,,,,,6.774171
1,350000000,1,1.7529949,24.39977463,1.2e-06,1.675e-05,5.43147017,75.60013337,
